phase,batch,replication,observed_statistic,permutation_p_value,null_statistics_path,seed_namespace,left_seed,right_seed,permutation_seed,elapsed_seconds,warnings,exception_text,run_id
confirmation,11,2,0.07055924749568873,0.125,null_statistics/batch-11-replication-2.npy,batch-null-confirmation,16956548723187147799,18435579820733425702,8909715899486021652,0.2870887000026414,,,batch-null-confirmation-20260821-001
confirmation,11,3,0.04822761110929856,0.665,null_statistics/batch-11-replication-3.npy,batch-null-confirmation,843520093662091314,5093586426811324301,14541151686016191007,0.28751829999964684,,,batch-null-confirmation-20260821-001
confirmation,11,4,0.04470785546068671,0.845,null_statistics/batch-11-replication-4.npy,batch-null-confirmation,5238951098896860427,13682119755639626003,7287044474472917048,0.2827714000013657,,,batch-null-confirmation-20260821-001
confirmation,11,5,0.046089482320965755,0.78,null_statistics/batch-11-replication-5.npy,batch-null-confirmation,5349303223373615357,4861652177213608817,10702305099050145888,0.31420730000536423,,,batch-null-confirmation-20260821-001
confirmation,11,6,0.06495400711178684,0.155,null_statistics/batch-11-replication-6.npy,batch-null-confirmation,16476021004278518925,9858103126086418581,14554924425527069011,0.285976600003778,,,batch-null-confirmation-20260821-001
confirmation,11,7,0.06371100236451893,0.245,null_statistics/batch-11-replication-7.npy,batch-null-confirmation,7227851022007079785,14728235819076680481,126879694763732888,0.28113309999753255,,,batch-null-confirmation-20260821-001
confirmation,11,8,0.06042265990718164,0.28,null_statistics/batch-11-replication-8.npy,batch-null-confirmation,16435388127653451585,6270377382580979949,370166226091678802,0.28812850000394974,,,batch-null-confirmation-20260821-001
confirmation,11,9,0.09438200223109998,0.01,null_statistics/batch-11-replication-9.npy,batch-null-confirmation,4340716584553350379,16714495326960717182,9677237240198168716,0.27952969999751076,,,batch-null-confirmation-20260821-001
confirmation,12,0,0.06771434471028938,0.105,null_statistics/batch-12-replication-0.npy,batch-null-confirmation,9430833032304630626,15819463846489506618,5233223263335244388,0.28104469999379944,,,batch-null-confirmation-20260821-001
confirmation,12,1,0.059433858429048615,0.31,null_statistics/batch-12-replication-1.npy,batch-null-confirmation,2023550341778651180,3209176560076370232,11530278606723905140,0.29884869999659713,,,batch-null-confirmation-20260821-001
confirmation,12,2,0.04220785485535436,0.93,null_statistics/batch-12-replication-2.npy,batch-null-confirmation,1677728462187724315,4202452705973580585,10291339773615859175,0.30886910000117496,,,batch-null-confirmation-20260821-001
confirmation,12,3,0.05846067232112274,0.27,null_statistics/batch-12-replication-3.npy,batch-null-confirmation,15150477927305582492,9167467019727841122,11796446549269584116,0.28417780000017956,,,batch-null-confirmation-20260821-001
confirmation,12,4,0.045755167649669005,0.795,null_statistics/batch-12-replication-4.npy,batch-null-confirmation,17195231810523601003,2370671694489657173,689215718527360958,0.3615014999959385,,,batch-null-confirmation-20260821-001
